watershed,site,habitat,elev,order,flow,upstreamdist,S.obs,simpsE,shan,N1,simpsD,S.rare,se.rare,sample,date,time,latitude,longitude,microhabitat,elevation,temperature,sp_cond,conductivity,tds,salinity,ph,TN,TP,DOC
LC,LC_02,sediment,486,5,NA,0,2210,0.062,6.45875481027557,638.265799534327,136.00010725928425,2210,0,LC_02_S,4-Jun-15,13:43,44.2228278,-122.2409,NA,486,14.15,39,31,0.026,0.02,7.18,NA,14.20050961,1.562
LC,LC_05,sediment,553,4,NA,3593,1942,0.059,6.181550030341726,483.7411890566456,113.91149278514938,1942,0,LC_05_S,5-Jun-15,12:46,44.2331,-122.2091306,NA,553,12.27,39,30,0.026,0.02,7.17,93.23113208,15.13831035,1.644
LC,LC_08,sediment,803,2,NA,8047,1894,0.079,6.2277209778233695,506.5996151137318,149.94974441017683,1894,0,LC_08_S,7-Jun-15,13:37,44.2581778,-122.1806139,NA,803,14.5,47,38,0.031,0.02,6.98,NA,19.52316243,2.604
LC,LC_09,sediment,673,1,NA,6703,2559,0.08,6.721598887447677,830.1437573734081,204.53024143487093,2559,0,LC_09_S,8-Jun-15,11:04,44.2319222,-122.1775278,NA,673,14.45,55,44,0.036,0.02,6.8,71.53301887,37.92433358,0.9956
LC,LC_10,sediment,680,3,NA,6922,2262,0.076,6.472342067775022,646.9972653141361,171.32596348730405,2262,0,LC_10_S,8-Jun-15,11:24,44.2312528,-122.173975,NA,680,13.95,45,36,0.029,0.02,7.1,62.85377358,10.85484213,1.324
LC,LC_16,sediment,554,3,NA,3308,2248,0.049,6.398579887515717,600.9909568093227,109.73569546940136,2248,0,LC_16_S,9-Jun-15,15:45,44.2309472,-122.2137222,NA,554,18.12,59,52,0.039,0.03,7.19,32.47641509,28.723748,1.405
LC,LC_17,sediment,739,3,NA,8408,2013,0.036,6.28267927520682,535.2207481755905,72.11881300115736,2013,0,LC_17_S,9-Jun-15,17:07,44.2318,-122.1596833,NA,739,14.64,46,37,0.03,0.02,7.23,NA,12.35025411,1.879
LC,LC_18,sediment,922,3,NA,12605,1824,0.064,6.159511228459107,473.19673320640334,115.85395999199224,1824,0,LC_18_S,9-Jun-15,17:40,44.22225,-122.1177611,NA,922,13.89,21,17,0.014,0.01,7.24,84.55188679,NA,1.32
LC,LC_19,sediment,932,2,NA,11651,2132,0.101,6.584442548633004,723.7474811704052,214.41747023091347,2132,0,LC_19_S,10-Jun-15,12:28,44.2296389,-122.1240972,NA,932,7.69,55,37,0.036,0.02,6.35,NA,33.94501695,1.789
WS01,W1_01,sediment,450,2,pool,2919,2260,0.067,6.443749444908124,628.7598862246854,152.29557707957426,2260,0,W1_01_S,29-May-15,12:53,44.207958,-122.258106,Pool,450,14.83,40,32,0.026,0.02,7.35,67.19339623,23.2490194,1.198
WS01,W1_02,sediment,450,2,riffle,2920,2318,0.077,6.545699577666542,696.2435850779921,179.2711304356114,2318,0,W1_02_S,29-May-15,12:53,44.207958,-122.258106,Riffle,450,15.57,30,25,0.02,0.01,7.33,71.53301887,21.98172111,1.957
WS01,W1_05,sediment,477,2,riffle,3182,2474,0.08,6.673607769009628,791.2450907451499,198.21459698624506,2474,0,W1_05_S,25-May-15,13:52,44.207,-122.254925,Riffle,477,11.1,6,5,0.004,0,6.94,84.55188679,18.66139959,1.078
WS01,W1_06,sediment,489,2,pool,3182,1500,0.057,5.744981676817246,312.6178996226681,86.01668606552316,1500,0,W1_06_S,25-May-15,14:50,44.206147,-122.255781,Pool,489,10.89,54,39,0.035,0.02,6.9,149.6462264,24.38958786,1.898
WS01,W1_08,sediment,541,1,riffle,3292,1695,0.034,5.857865631044609,349.97636759428195,57.2168323202127,1695,0,W1_08_S,26-May-15,NA,44.205889,-122.254578,Riffle,541,9.67,29,20,0.019,0.01,8.33,NA,36.60634336,1.556
WS01,W1_10,sediment,541,2,pool,3292,2601,0.098,6.781011082519719,880.9589962043344,255.7957430893203,2601,0,W1_10_S,26-May-15,NA,44.205889,-122.254578,Pool,541,11.2,54,40,0.035,0.02,7.07,19.45754717,20.89184458,1.47
WS01,W1_12,sediment,576,2,pool,3724,2360,0.044,6.4924477293980285,660.1372245528,102.67498846763796,2360,0,W1_12_S,26-May-15,14:38,44.204856,-122.249808,Pool,576,11.18,58,43,0.038,0.03,7.76,71.53301887,24.44027979,1.051
WS01,W1_18,sediment,591,1,pool,3771,2417,0.049,6.616666475284037,747.4492988088988,119.27023479239658,2417,0,W1_18_S,29-May-15,16:31,44.204544,-122.249744,Pool,591,14.95,39,31,0.025,0.02,7.24,93.23113208,21.80429935,2.961
WS01,W1_19,sediment,591,1,riffle,3771,1420,0.038,5.7559674151063245,316.0711716938203,53.79168758070675,1420,0,W1_19_S,29-May-15,16:31,44.204544,-122.249744,Riffle,591,14.61,37,30,0.024,0.02,7.26,119.2688679,23.0969436,1.532
WS01,W1_21,sediment,470,2,pool,3081,2515,0.135,6.939919050031954,1032.6866156282265,340.56564409772,2515,0,W1_21_S,3-Jun-15,17:21,44.207053,-122.256483,Pool,470,12.87,54,41,0.035,0.02,7.11,84.55188679,23.73059275,1.419
WS01,W1_22,sediment,470,2,riffle,3081,2071,0.055,6.232712755447443,509.13476993716733,113.9931905995727,2071,0,W1_22_S,3-Jun-15,17:21,44.207053,-122.256483,Riffle,470,12.83,51,39,0.034,0.02,7.16,88.89150943,18.07844238,1.946
