sample	watershed	site	habitat	elev	order	flow
LC_01_S	LC	LC_01	sediment	564	5	NA
LC_01_W	LC	LC_01	water	564	5	NA
LC_02_S	LC	LC_02	sediment	486	5	NA
LC_02_W	LC	LC_02	water	486	5	NA
LC_03_S	LC	LC_03	sediment	542	5	NA
LC_03_W	LC	LC_03	water	542	5	NA
LC_04_S	LC	LC_04	sediment	542	3	NA
LC_04_W	LC	LC_04	water	542	3	NA
LC_05_S	LC	LC_05	sediment	553	4	NA
LC_05_W	LC	LC_05	water	553	4	NA
LC_06_S	LC	LC_06	sediment	544	5	NA
LC_06_W	LC	LC_06	water	544	5	NA
LC_07_S	LC	LC_07	sediment	867	3	NA
LC_07_W	LC	LC_07	water	867	3	NA
LC_08_S	LC	LC_08	sediment	803	2	NA
LC_08_W	LC	LC_08	water	803	2	NA
LC_09_S	LC	LC_09	sediment	673	1	NA
LC_09_W	LC	LC_09	water	673	1	NA
LC_10_S	LC	LC_10	sediment	680	3	NA
LC_10_W	LC	LC_10	water	680	3	NA
LC_11_S	LC	LC_11	sediment	1215	1	NA
LC_11_W	LC	LC_11	water	1215	1	NA
LC_12_W	LC	LC_12	water	1230	1	NA
LC_13_S	LC	LC_13	sediment	626	4	NA
LC_13_W	LC	LC_13	water	626	4	NA
LC_14_S	LC	LC_14	sediment	638	2	NA
LC_14_W	LC	LC_14	water	638	2	NA
LC_15_S	LC	LC_15	sediment	745	3	NA
LC_15_W	LC	LC_15	water	745	3	NA
LC_16_S	LC	LC_16	sediment	554	3	NA
LC_16_W	LC	LC_16	water	554	3	NA
LC_17_S	LC	LC_17	sediment	739	3	NA
LC_17_W	LC	LC_17	water	739	3	NA
LC_18_S	LC	LC_18	sediment	922	3	NA
LC_18_W	LC	LC_18	water	922	3	NA
LC_19_S	LC	LC_19	sediment	932	2	NA
LC_19_W	LC	LC_19	water	932	2	NA
LC_20_S	LC	LC_20	sediment	1210	1	NA
LC_20_W	LC	LC_20	water	1210	1	NA
LC_21_S	LC	LC_21	sediment	803	2	NA
LC_21_W	LC	LC_21	water	803	2	NA
LC_22_S	LC	LC_22	sediment	783	3	NA
LC_22_W	LC	LC_22	water	783	3	NA
W1_01_S	WS01	W1_01	sediment	450	2	pool
W1_01_W	WS01	W1_01	water	450	2	pool
W1_02_S	WS01	W1_02	sediment	450	2	riffle
W1_02_W	WS01	W1_02	water	450	2	riffle
W1_03_S	WS01	W1_03	sediment	460	2	riffle
W1_03_W	WS01	W1_03	water	460	2	riffle
W1_04_S	WS01	W1_04	sediment	477	2	pool
W1_04_W	WS01	W1_04	water	477	2	pool
W1_05_S	WS01	W1_05	sediment	477	2	riffle
W1_05_W	WS01	W1_05	water	477	2	riffle
W1_06_S	WS01	W1_06	sediment	489	2	pool
W1_06_W	WS01	W1_06	water	489	2	pool
W1_07_S	WS01	W1_07	sediment	489	2	riffle
W1_07_W	WS01	W1_07	water	489	2	riffle
W1_08_S	WS01	W1_08	sediment	541	1	riffle
W1_08_W	WS01	W1_08	water	541	1	riffle
W1_09_S	WS01	W1_09	sediment	541	2	riffle
W1_09_W	WS01	W1_09	water	541	2	riffle
W1_10_S	WS01	W1_10	sediment	541	2	pool
W1_10_W	WS01	W1_10	water	541	2	pool
W1_11_S	WS01	W1_11	sediment	550	2	riffle
W1_11_W	WS01	W1_11	water	550	2	riffle
W1_12_S	WS01	W1_12	sediment	576	2	pool
W1_12_W	WS01	W1_12	water	576	2	pool
W1_13_S	WS01	W1_13	sediment	576	2	riffle
W1_13_W	WS01	W1_13	water	576	2	riffle
W1_14_S	WS01	W1_14	sediment	592	2	pool
W1_14_W	WS01	W1_14	water	592	2	pool
W1_15_S	WS01	W1_15	sediment	592	2	riffle
W1_15_W	WS01	W1_15	water	592	2	riffle
W1_16_S	WS01	W1_16	sediment	581	1	pool
W1_16_W	WS01	W1_16	water	581	1	pool
W1_17_S	WS01	W1_17	sediment	581	1	riffle
W1_17_W	WS01	W1_17	water	581	1	riffle
W1_18_S	WS01	W1_18	sediment	591	1	pool
W1_18_W	WS01	W1_18	water	591	1	pool
W1_19_S	WS01	W1_19	sediment	591	1	riffle
W1_19_W	WS01	W1_19	water	591	1	riffle
W1_20_S	WS01	W1_20	sediment	644	1	pool
W1_20_W	WS01	W1_20	water	644	1	pool
W1_21_S	WS01	W1_21	sediment	470	2	pool
W1_21_W	WS01	W1_21	water	470	2	pool
W1_22_S	WS01	W1_22	sediment	470	2	riffle
W1_22_W	WS01	W1_22	water	470	2	riffle
